,Medal,Beer Name,Brewery,City,State,County,Category,Year
4492,Silver ,Capitol Kolsch,Capitol City Brewing Co.,Arlington,VA,Arlington,German-Style Kolsch / Koln-Style Kolsch,2001
4493,Bronze,Skinny Atlas Light,Empire Brewing Co.,Rochester,NY,Monroe,German-Style Kolsch / Koln-Style Kolsch,2001
4494,Gold ,Uncle Otto's Oktoberfest,Portland Brewing Co.,Portland,OR,Multnomah,German-Style Maerzen / Oktoberfest,2001
4495,Silver ,Mueller Marzen,Springfield Brewing Co.,Springfield,MO,Greene,German-Style Maerzen / Oktoberfest,2001
4496,Bronze,Tabernash Oktoberfest,Tabernash Brewing Co. ,Longmont,CO,Boulder,German-Style Maerzen / Oktoberfest,2001
4497,Gold ,Tuppers' Hop Pocket Pils,Old Dominion Brewing Co.,Ashburn,VA,Loudoun,German-Style Pilsener,2001
4498,Silver ,Hanalei Lager,Honolulu Brewing Co. ,Honolulu,HI,Honolulu,German-Style Pilsener,2001
4499,Bronze,Blue Paddle Pilsner,New Belgium Brewing Co.,Fort Collins,CO,Larimer,German-Style Pilsener,2001
4500,Gold ,Black Forest Schwarzbier,Squatters Pub Brewery ,Salt Lake City,UT,Salt Lake,German-Style Schwarzbier,2001
4501,Silver ,Springfield Schwarz Beer,John Harvard’s Brew House,Wayne,PA,Delaware,German-Style Schwarzbier,2001
4502,Bronze,King's Peak,Uinta Brewing Co.  ,Salt Lake City,UT,Salt Lake,German-Style Schwarzbier,2001
4503,Gold ,Gudenteit Hefe-Weizen,Mickey Finn's Brewery  ,Libertyville,IL,Lake,German-Style Wheat Ale,2001
4504,Silver ,Glockenspiel Weizenbock,Great Lakes Brewing Co/Ohio,Cleveland,OH,Cuyahoga,German-Style Wheat Ale,2001
4505,Bronze,Heidelberg Hefeweizen,Rocky River Brewing Co. - Tennessee  ,Sevierville,TN,Sevier,German-Style Wheat Ale,2001
4506,Gold ,Golden Wheat Ale,Russian River Brewing Co.,Guerneville,CA,Sonoma,Golden or Blonde Ale,2001
4507,Silver ,Old Faithful Ale,Grand Teton Brewing Co.  ,Victor,ID,Teton,Golden or Blonde Ale,2001
4508,Bronze,Kiwanda Cream Ale,Pelican Pub & Brewery  ,Pacific City,OR,Tillamook,Golden or Blonde Ale,2001
4509,Gold ,Orange Infusion,Elliott Bay Brewery Pub,Seattle,WA,King,Herb and Spice Beer,2001
4510,Silver ,Holiday Spiced Ale,21st Amendment Brewery Café ,San Francisco,CA,San Francisco,Herb and Spice Beer,2001
4511,Bronze,Cambridge Espresso Stout,John Harvard’s Brew House,Braintree,MA,NOT KNOWN,Herb and Spice Beer,2001
4512,Gold ,Raven Maniac Stout,Prescott Brewing Co.,Prescott,AZ,Yavapai,Imperial Stout,2001
4513,Silver ,High Desert Imperial Stout,Sweetwater Tavern & Brewery,Centreville,VA,Fairfax,Imperial Stout,2001
4514,Bronze,Old Rasputin,North Coast Brewing Co. Inc,Ft. Bragg,CA,Mendocino,Imperial Stout,2001
4515,Gold ,3A - Abigail Adams Amber,Quincy Ships Brewing Co. ,Quincy,MA,Norfolk,Irish-Style Red Ale,2001
4516,Silver ,Thoroughbred Red,Aiken Brewing Co. ,Aiken,SC,Aiken,Irish-Style Red Ale,2001
4517,Bronze,Starr Hill Amber Ale,Starr Hill Brewing Co. ,Charlottesville,VA,Charlottesville (city),Irish-Style Red Ale,2001
4518,Gold ,Penn Gold,Pennsylvania Brewing Co.,Pittsburgh,PA,Allegheny,Munchner-Style Helles,2001
4519,Silver ,Lucknow Munich-Style Lager,Castle Springs Brewing Co.,Moultonborough,NH,NOT KNOWN,Munchner-Style Helles,2001
4520,Bronze,Ghost Pony Helles,Trap Rock Restaurant and Brewery,Berekely Heights,NJ,NOT KNOWN,Munchner-Style Helles,2001
4521,Gold ,O'Doul's Amber,"Anheuser-Busch, Inc",Saint Louis,MO,St. Louis (city),Non-Alcoholic (Beer) Malt Beverage,2001
4522,Silver ,Kingsbury NA,Rainier Brewing Co. Inc ,Tumwater,WA,Thurston,Non-Alcoholic (Beer) Malt Beverage,2001
4523,Bronze,Pigs Eye NA,Minnesota Brewing  ,Saint Paul,MN,Ramsey,Non-Alcoholic (Beer) Malt Beverage,2001
4524,Gold ,Lasto's Oatmeal Stout,BJ's Grill & Brewery ,Portland,OR,Multnomah,Oatmeal Stout,2001
4525,Silver ,Oatmeal Stout,SLO Brewing Co. - San Luis Obispo  ,San Luis Obispo,CA,San Luis Obispo,Oatmeal Stout,2001
4526,Gold ,Southampton Old Ale,Southampton Publick House ,Southampton,NY,Suffolk,Old Ale/Strong Ale,2001
4527,Silver ,Old Stock Ale,North Coast Brewing Co. Inc,Ft. Bragg,CA,Mendocino,Old Ale/Strong Ale,2001
4528,Bronze,Wee Huey's Heavy,Big Horn Brewing Co.  ,Tacoma,WA,Pierce,Old Ale/Strong Ale,2001
4529,Gold ,Hopasaurus Rex Imperial IPA,Steelhead Brewing Co. - Eugene ,Eugene,OR,Lane,Other Strong Ale or Lager,2001
4530,Silver ,Hearthside Wheatwine,Steelhead Brewing Co. - Eugene ,Eugene,OR,Lane,Other Strong Ale or Lager,2001
4531,Bronze,Cardiff,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Garfield,Other Strong Ale or Lager,2001
4532,Gold ,Robust Porter,Smuttynose Brewing Co.,Portsmouth,NH,Rockingham,Robust Porter,2001
4533,Silver ,Total Eclipse Black Ale,Hoppy Brewing Co.,Sacramento,CA,Sacramento,Robust Porter,2001
4534,Bronze,Mocha Porter,Rogue Ales  ,Newport,OR,Lincoln,Robust Porter,2001
4535,Gold ,Road Rage Rye,Desert Edge Brewery  ,Salt Lake City,UT,Salt Lake,Rye Beer,2001
4536,Silver ,Chazz Cat Rye,Mountain Sun Pub and Brewery ,Boulder,CO,Boulder,Rye Beer,2001
4537,Bronze,Catcher in the Rye,Rock Bottom Brewery - South Denver  ,Englewood,CO,Arapahoe,Rye Beer,2001
4538,Gold ,Caber Tossing Scottish Ale,Fox River Brewing Co./Fratellos,Oshkosh,WI,Winnebago,Scottish-Style Ale,2001
4539,Silver ,Laughing Lab Scottish Ale,Bristol Brewing Co.,Colorado Springs,CO,El Paso,Scottish-Style Ale,2001
4540,Bronze,Saint Arnold Oktoberfest,Saint Arnold Brewing Co.,Houston,TX,Harris,Scottish-Style Ale,2001
4541,Silver ,Smokey the Beer,Blind Tiger Brewery & Restaurant,Topeka,KS,Shawnee,Smoke-Flavored Beer,2001
4542,Bronze,Stewart's Smoked Porter,Stewart's Brewing Co. ,Bear,DE,New Castle,Smoke-Flavored Beer,2001
4543,Gold ,Big Bad Bourbon Brown,Big Horn Brewing Co. ,Dallas,TX,Dallas,Specialty Beer,2001
4544,Silver ,Pullman Brown Ale,Flossmoor Station Brewing Co.,Flossmoor,IL,Cook,Specialty Beer,2001
4545,Bronze,Ginger Shandy,McCoys Public House & BrewKitchen ,Kansas City,MO,Jackson,Specialty Beer,2001
4546,Gold ,Countdown Honey Brown,Thunder Canyon Brewery ,Tucson,AZ,Pima,Specialty Honey Beer,2001
4547,Silver ,Jarre Creek Ranch Brewery Honey Brown Ale,Jarre Creek Ranch Brewery  ,Castle Rock,CO,Douglas,Specialty Honey Beer,2001
4548,Bronze,Honey Rye Dopplebock,Flossmoor Station Brewing Co.,Flossmoor,IL,Cook,Specialty Honey Beer,2001
4549,Silver ,Wee Heavy Ale,Capitol City Brewing Co.,Arlington,VA,Arlington,Strong Scotch Ale,2001
4550,Bronze,Wee Heavy,Iron Hill Brewery & Restaurant - Media,Media,PA,Delaware,Strong Scotch Ale,2001
4551,Gold ,Sweetness Stout,Americas Brewing Co/Walter Paytons Roundhouse,Aurora,IL,Kane,Sweet Stout,2001
4552,Silver ,Chocolate Stout,H.C. Berger Brewing  ,Fort Collins,CO,Larimer,Sweet Stout,2001
4553,Bronze,Chelsea Cream Stout,Chelsea Brewing Co.,New York,NY,New York,Sweet Stout,2001
4554,Gold ,Snake River Lager,Snake River Brewing Co.,Jackson,WY,Teton,Vienna-Style Lager,2001
4555,Silver ,Dam Straight Lager,Dillon Dam Brewery  ,Dillon,CO,Summit,Vienna-Style Lager,2001
4556,Bronze,Sunset Amber,Coast Brewing Co.,Biloxi,MS,Harrison,Vienna-Style Lager,2001
4557,Gold,H. Saxer Dark Lager,Portland Brewing Co.,Portland,OR,Multnomah,American Dark Lager,2000
4558,Silver,Henry Weinhard's Dark,Blitz-Weinhard Brewing Co.,Tumwater,WA,Thurston,American Dark Lager,2000
4559,Bronze,Michelob Amber Bock,"Anheuser-Busch, Inc",Saint Louis,MO,St. Louis (city),American Dark Lager,2000
4560,Gold,California Gold,Stuft Pizza & Brewing Co.  ,San Diego,CA,San Diego,American Lager / Ale or Cream Ale,2000
4561,Silver,Lodgepole Light,Prescott Brewing Co.,Prescott,AZ,Yavapai,American Lager / Ale or Cream Ale,2000
4562,Bronze,Lucknow Blonde Ale,Castle Springs Brewing Co.,Moultonborough,NH,NOT KNOWN,American Lager / Ale or Cream Ale,2000
4563,Gold,Steam Engine Steam,Steamworks Brewing Co.,Durango,CO,La Plata,American-Style Amber Lager,2000
4564,Gold,Ruedrich's Red Seal Ale,North Coast Brewing Co. Inc,Ft. Bragg,CA,Mendocino,American-Style Amber/Red Ale,2000
4565,Silver,Shark Bite Red,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,American-Style Amber/Red Ale,2000
4566,Bronze,Ragtop Red,Rock Bottom Breweries ,La Jolla,CA,San Diego,American-Style Amber/Red Ale,2000
4567,Gold,American Brown,C.H. Evans Brewing Co. at the Albany Pump Station,Albany,NY,Albany,American-Style Brown Ale,2000
4568,Silver,Hogans Park Ave. Ale,Custom Brewcrafters Inc,Honeoye Falls,NY,Monroe,American-Style Brown Ale,2000
4569,Bronze,Brooklyn Brown Ale,Brooklyn Brewery ,Brooklyn,NY,Kings,American-Style Brown Ale,2000
4570,Gold, IPA,SLO Brewing Co. - San Luis Obispo  ,San Luis Obispo,CA,San Luis Obispo,American-Style India Pale Ale,2000
4571,Silver,Torrey Pines IPA,Stuft Pizza & Brewing Co.  ,San Diego,CA,San Diego,American-Style India Pale Ale,2000
4572,Bronze,Hoptown IPA,Hoptown Brewing Co.  ,Pleasanton,CA,Alameda,American-Style India Pale Ale,2000
4573,Gold,Rainer,G. Heileman Brewing Co. ,Fogelsville,PA,Lehigh,American-Style Lager,2000
4574,Silver,Miller Genuine Draft,Miller Brewing Co.,Milwaukee,WI,Milwaukee,American-Style Lager,2000
4575,Bronze,Red Dog,Plank Road Brewery  ,Milwaukee,WI,Milwaukee,American-Style Lager,2000
4576,Gold,Bud Light,"Anheuser-Busch, Inc",Saint Louis,MO,St. Louis (city),American-Style Light Lager,2000
4577,Silver,Stroh Light,Stroh Brewery Co. (The),Fogelsville,PA,Lehigh,American-Style Light Lager,2000
4578,Bronze,Schaefer Light,Schaefer Brewing Co. ,Fogelsville,PA,Lehigh,American-Style Light Lager,2000
4579,Gold,Telemark IPA,Backcountry Brewery ,Frisco,CO,Summit,American-Style Pale Ale,2000
4580,Silver,Mad Hatter Ale,New Holland Brewing Co.,Holland,MI,Ottawa,American-Style Pale Ale,2000
4581,Bronze,New River Pale Ale,New River Brewing Co.  ,Blacksburg,VA,Montgomery,American-Style Pale Ale,2000
4582,Gold,Stroh Lager,Stroh Brewery Co. (The),Fogelsville,PA,Lehigh,American-Style Premium Lager,2000
4583,Silver,Schlitz Malt Liquor,Schlitz Brewing Co.  ,Fogelsville,PA,Lehigh,American-Style Premium Lager,2000
4584,Bronze,New South Lager Beer,New South Brewing  ,Myrtle Beach,CA,NOT KNOWN,American-Style Premium Lager,2000
4585,Gold,Bull Ice,Schlitz Brewing Co. ,Fogelsville,PA,Lehigh,American-Style Specialty Lager,2000
4586,Silver,St. Ides Malt Liquor,St. Ides Brewing Co.  ,Fogelsville,PA,Lehigh,American-Style Specialty Lager,2000
4587,Bronze,Scrimshaw Beer,North Coast Brewing Co. Inc,Ft. Bragg,CA,Mendocino,American-Style Specialty Lager,2000
4588,Gold,High Rollers Wheat Beer,Anderson Valley Brewing Co.,Boonville,CA,Mendocino,American-Style Wheat Ale or Lager,2000
4589,Silver,Weiss Guy Wheat,Alcatraz Brewing Co,Littleton,CO,Arapahoe,American-Style Wheat Ale or Lager,2000
4590,Bronze,Choc,Pete's Place  ,Krebs,OH,NOT KNOWN,American-Style Wheat Ale or Lager,2000
4591,Gold,Old No. 27 Barley Wine,Delafield Brewhaus  ,Delafield,WI,Waukesha,Barley Wine-Style Ale,2000
4592,Silver,Stone Old Guardian,Stone Brewing Co.  ,San Marcos,CA,San Diego,Barley Wine-Style Ale,2000
4593,Bronze,Blunderbuss Barleywine,Cambridge Brewing Co.,Cambridge,MA,Middlesex,Barley Wine-Style Ale,2000
4594,Gold,Cherry Lambic,Commonwealth Brewing Co.,New York,NY,New York,Belgian- & French-Style Specialty Ales,2000
4595,Silver,Saison L' Ete,Willoughby Brewing Co. (The),Willoughby,OH,Lake,Belgian- & French-Style Specialty Ales,2000
4596,Bronze,La Folie,New Belgium Brewing Co.,Fort Collins,CO,Larimer,Belgian- & French-Style Specialty Ales,2000
4597,Gold,Abbey Belgian Style Ale,New Belgium Brewing Co.,Fort Collins,CO,Larimer,Belgian-Style Ales,2000
4598,Silver,Victoria's Triple Belgian,Humboldt Brewery ,Arcata,CA,Humboldt,Belgian-Style Ales,2000
4599,Bronze,Bridal Veil Ale,"BJ's Pizza, Grill & Brewery  ",Brea,CA,Orange,Belgian-Style Ales,2000
4600,Gold,Framingham Bock,John Harvard’s Brew House,Boston,MA,Suffolk,Bock,2000
4601,Silver,Mad Brewer Maibock,Church Brew Works  ,Pittsburgh,PA,Allegheny,Bock,2000
4602,Bronze,Maibock,Iron Hill Brewery & Restaurant,Newark,DE,New Castle,Bock,2000
4603,Silver,Czech Mate Pils,Brew Moon Restaurant & Microbrewery ,Needham,MA,Norfolk,Bohemian Style Pilsener ,2000
4604,Bronze,Full Sail Pilsner,Full Sail Brewing Co.,Hood River,OR,Hood River,Bohemian Style Pilsener ,2000
4605,Gold,Black Jack Porter,Left Hand Brewing Co. ,Longmont,CO,Boulder,Brown Porter,2000
4606,Silver,Sweetwater Exodus Porter,Sweetwater Brewing Co.,Atlanta,GA,Fulton,Brown Porter,2000
4607,Bronze,Sierra Nevada Porter,Sierra Nevada Brewing Co.,Chico,CA,Butte,Brown Porter,2000
4608,Gold,Ghirardelli Square Chocolate Stout,Steelhead Brewing Co.,Burlingame,CA,San Mateo,Chocolate / Cocoa Flavored Beers,2000
4609,Silver,Chocolate Stout,Rogue Ales  ,Newport,OR,Lincoln,Chocolate / Cocoa Flavored Beers,2000
4610,Bronze,Jurupa Valley Stout,Jurupa Valley Brewing Co.  ,Riverside,CA,Riverside,Chocolate / Cocoa Flavored Beers,2000
4611,Gold,Custer's Last Ale,Snake River Brewing Co.,Jackson,WY,Teton,Classic English Style Pale Ale ,2000
4612,Silver,Pick Axe Pale Ale,Tommyknocker Brewery  ,Idaho Springs,CO,Clear Creek,Classic English Style Pale Ale ,2000
4613,Bronze,New South Pale Ale,New South Brewing  ,Myrtle Beach,SC,Horry,Classic English Style Pale Ale ,2000
4614,Gold,Murphy's Dry Stout,Humperdinks Big Horn Brewing  ,Lakewood,WA,Pierce,Classic Irish-Style Dry Stout ,2000
4615,Silver,Black Magic Stout,Empire Brewing Co.,Rochester,NY,Monroe,Classic Irish-Style Dry Stout ,2000
4616,Bronze,Dark Starr Stout,Starr Hill Brewing Co. ,Charlottesville,VA,Charlottesville (city),Classic Irish-Style Dry Stout ,2000
4617,Gold,Old Charleywine,Mammoth Brewing,Mammoth Lakes,CA,Mono,English Old Ale / English & American Strong Ales,2000
4618,Silver,Powerhouse Ale,Powerhouse Brewing Co. (The),Sebastopol,CA,Sonoma,English Old Ale / English & American Strong Ales,2000
4619,Bronze,Old Hand,Colorado Brewery & Trading Co.  ,Danbury,CT,Fairfield,English Old Ale / English & American Strong Ales,2000
4620,Gold,Alembic Pale,Elliott Bay Brewery Pub,Seattle,WA,King,English Style (Extra Special) Strong Bitter,2000
4621,Silver,Special Old Bitter,Hyde Park Brewing Co. ,Hyde Park,NY,Dutchess,English Style (Extra Special) Strong Bitter,2000
4622,Bronze,Brown's Point Bitter,Harmon Restaurant & Brewery ,Tacoma,WA,Pierce,English Style (Extra Special) Strong Bitter,2000
4623,Gold,Cutthroat Ale,Uinta Brewing Co.  ,Salt Lake City,UT,Salt Lake,English-Style Bitter,2000
4624,Silver,8th Street Ale,Four Peaks Brewing Co.,Tempe,AZ,Maricopa,English-Style Bitter,2000
4625,Bronze,Long Valley Best Bitter,Long Valley Pub and Brewery,Long Valley,NJ,Morris,English-Style Bitter,2000
4626,Gold,Ghost Town Brown,5281 Roadhouse & Brewery ,Littleton,CO,Arapahoe,English-Style Brown Ale,2000
4627,Silver,Little Bandit Brown Ale,Northwoods Brewing Corp.  ,Eau Claire,WI,Eau Claire,English-Style Brown Ale,2000
4628,Bronze,Twisted Brown Ale,Twisted Pine Brewing Co.  ,Boulder,CO,Boulder,English-Style Brown Ale,2000
4629,Gold,Goose Island IPA,Goose Island Beer Co.  ,Chicago,IL,Cook,English-Style India Pale Ale,2000
4630,Silver,Hop Daddy IPA,Main Street Brewery ,Corona,CA,Riverside,English-Style India Pale Ale,2000
4631,Bronze,Renegade IPA,Buckhead Brewery & Grill (The),Stockbridge,GA,Henry,English-Style India Pale Ale,2000
4632,Gold,Black Forest,Valhalla Microbrewery & Restaurant  ,Pittsburgh,PA,Allegheny,European-Style Dark / Munchner,2000
4633,Silver,Slam Dunkel,Great Basin Brewing Co.,Sparks,NV,Washoe,European-Style Dark / Munchner,2000
4634,Gold,Olde Buzzard Lager,Buzzards Bay Brewing  ,Westport,MA,NOT KNOWN,European-Style Pilsener,2000
4635,Silver,Pinch Hit Pilsner,Sandlot Brewery at Coors Field,Denver,CO,Denver,European-Style Pilsener,2000
4636,Bronze,Dortmunder,Powerhouse Brewing Co. (The),Sebastopol,CA,Sonoma,European-Style Pilsener,2000
4637,Gold,Boscos Juniper Stone Beer,Boscos Brewing Co.,Memphis,TN,Shelby,Experimental Beer (Lager or Ale),2000
4638,Silver,Cuvee de Tomme,Pizza Port - Solana Beach,Solana Beach,CA,San Diego,Experimental Beer (Lager or Ale),2000
4639,Bronze,Juniper Rye,"BJ's Pizza, Grill & Brewery ",Brea,CA,Orange,Experimental Beer (Lager or Ale),2000
4640,Gold,Tsunami Stout,Pelican Pub & Brewery  ,Pacific City,OR,Tillamook,Foreign Style Stout ,2000
4641,Silver,Moose Juice Stout,Otto Brothers Brewing Co.  ,Victor,ID,Teton,Foreign Style Stout ,2000
4642,Bronze,Swollen Delta Stout,Redfish New Orleans Brewhouse  ,Boulder,CO,Boulder,Foreign Style Stout ,2000
4643,Gold,Fuzzy Buzz Peach Ale,Copper Tank Brewing Co.,Dallas,TX,Dallas,Fruit Beers (other than raspberry),2000
4644,Silver,Orange Grove Ale,Craftsman Brewing Co. ,Pasadena,CA,Los Angeles,Fruit Beers (other than raspberry),2000
4645,Bronze,One Ton Blackberry Ale,Third Street AleWorks,Santa Rosa,CA,Sonoma,Fruit Beers (other than raspberry),2000
4646,Gold,Boca Alt,Brewzzi  ,Boca Raton,FL,Palm Beach,German-Style Brown Ale / Dusseldorf-Style Altbier,2000
4647,Silver,"Alt, Who Goes There?",General Lafayette Inn & Brewery  ,Lafayette Hill,PA,NOT KNOWN,German-Style Brown Ale / Dusseldorf-Style Altbier,2000
4648,Bronze,Dornbusch Alt,Dornbusch Brewing Co.  ,Ipswich,MA,Essex,German-Style Brown Ale / Dusseldorf-Style Altbier,2000
4649,Gold,Hog Back Doppel Bock,Mountain Sun Pub and Brewery ,Boulder,CO,Boulder,German-Style Doppelbock,2000
4650,Silver,Symposium Eisbock,New Glarus Brewing Co.,New Glarus,WI,Green,German-Style Doppelbock,2000
4651,Bronze,Mueller Doppelbock,Springfield Brewing Co.,Springfield,MO,Greene,German-Style Doppelbock,2000
4652,Gold,Alcatraz Kolsch,Alcatraz Brewing Co,Indianapolis,IN,Marion,German-Style Kolsch / Koln-Style Kolsch,2000
4653,Silver,Triple Screw Light Ale,Titanic Brewing Co. ,Coral Gables,FL,Miami-Dade,German-Style Kolsch / Koln-Style Kolsch,2000
4654,Bronze,Saint Arnold Fancy Lawnmower Beer,Saint Arnold Brewing Co.,Houston,TX,Harris,German-Style Kolsch / Koln-Style Kolsch,2000
4655,Gold,Red Oktober,Salem Beer Works ,Salem,MA,Essex,German-Style Maerzen / Oktoberfest,2000
4656,Silver,Great Dane Oktoberfest,Great Dane Pub & Brewing Co. (The),Madison,WI,Dane,German-Style Maerzen / Oktoberfest,2000
4657,Bronze,Bittings Bad Boy ,J.J. Bitting Brewing Co.  ,Woodbridge,NJ,Middlesex,German-Style Maerzen / Oktoberfest,2000
4658,Gold,Perkiomen Pils,New Road Brew House  ,Collegeville,PA,Montgomery,German-Style Pilsener,2000
4659,Silver,This Is The Pilsner,Hoppers Grill & Brewing Co.,Midvale,UT,Salt Lake,German-Style Pilsener,2000
4660,Bronze,Blue Paddle Pilsner,New Belgium Brewing Co.,Fort Collins,CO,Larimer,German-Style Pilsener,2000
4661,Gold,King's Peak,Uinta Brewing Co.  ,Salt Lake City,UT,Salt Lake,German-Style Schwarzbier,2000
4662,Silver,Red Rock Black Bier,Red Rock Brewing Co.,Salt Lake City,UT,Salt Lake,German-Style Schwarzbier,2000
4663,Bronze,Black Forest Schwarzbier,Squatters Beer ,Salt Lake City,UT,Salt Lake,German-Style Schwarzbier,2000
4664,Gold,Penn Weizen,Pennsylvania Brewing Co.,Pittsburgh,PA,Allegheny,German-Style Wheat Ale,2000
4665,Silver,Brewmaster Select Hefeweizen,Station Casinos Breweries / Barley's Casino & Brewing Co.  ,Henderson ,NV,NOT KNOWN,German-Style Wheat Ale,2000
4666,Bronze,Double Play Dunkelweizen,Leinenkugel's Ballyard Brewery  ,Phoenix,AZ,Maricopa,German-Style Wheat Ale,2000
4667,Gold,Kiwanda Cream Ale,Pelican Pub & Brewery ,Pacific City,OR,Tillamook,Golden Ale / Canadian Style Ale ,2000
4668,Silver,Alpine Gold,Tied House Cafe & Brewery ,Mountain View,CA,Santa Clara,Golden Ale / Canadian Style Ale ,2000
4669,Bronze,Clipper City Chesapeake Gold Ale,Clipper City Brewing Co.,Baltimore,MD,Baltimore (city),Golden Ale / Canadian Style Ale ,2000
4670,Gold,Cambridge Espresso Stout,John Harvard’s Brew House,Boston,MA,Suffolk,Herb and Spice Beers,2000
4671,Silver,Santa's Lil' Helper,Rocky River Brewing Co.,Rocky River,OH,Cuyahoga,Herb and Spice Beers,2000
4672,Bronze,Stumblin Monk,AleSmith Brewing Co.,San Diego,CA,San Diego,Herb and Spice Beers,2000
4673,Gold,Stone House Imperial Stout,Gilded Otter Brewing Co. ,New Paltz,NY,Ulster,Imperial Stout,2000
4674,Silver,Hoptown Old Yeltsin Imperial Stout,Hoptown Brewing Co. ,Pleasanton,CA,Alameda,Imperial Stout,2000
4675,Bronze,Imperial Stout,Two Rows Restaurant & Brewery ,Dallas,TX,Dallas,Imperial Stout,2000
4676,Gold,Jurupa Valley Red Ale,Jurupa Valley Brewing Co.  ,Riverside,CA,Riverside,Irish-Style Red Ale,2000
4677,Silver,Raptor Red,Rock Bottom Breweries ,Phoenix,AZ,Maricopa,Irish-Style Red Ale,2000
4678,Bronze,Badger Red Ale,J.T. Whitneys Pub & Brewery  ,Madison,WI,Dane,Irish-Style Red Ale,2000
4679,Gold,Golden Eagle Lager,Rocky River Brewing Co.,Sevierville,TN,Sevier,Munchner-Style Helles,2000
4680,Silver,Helles or High Water,Brewzzi ,Boca Raton,FL,Palm Beach,Munchner-Style Helles,2000
4681,Bronze,Lodestone Lager,Iron Hill Brewery & Restaurant,Media,PA,Delaware,Munchner-Style Helles,2000
4682,Silver,Pabst NA,Pabst Brewing Co.,Fogelsville,PA,Lehigh,Non-Alcoholic (Beer) Malt Beverage,2000
4683,Bronze,O'Doul's Amber,"Anheuser-Busch, Inc",Saint Louis,MO,St. Louis (city),Non-Alcoholic (Beer) Malt Beverage,2000
4684,Gold,Main Line Oatmeal Stout,John Harvard’s Brew House,Framingham,MA,Middlesex,Oatmeal Stout,2000
4685,Silver,Oatmeal Stout,SLO Brewing Co.,San Luis Obispo,CA,San Luis Obispo,Oatmeal Stout,2000
4686,Bronze,Black H20 Oatmeal Stout,Minneapolis Town Hall Brewery  ,Minneapolis,MN,Hennepin,Oatmeal Stout,2000
4687,Gold,Double Ice Bock,Southampton Publick House ,Southampton,NY,Suffolk,Other Strong Ales & Lagers,2000
4688,Silver,Wee Heavy Scotch Ale,Steelhead Brewing Co.,Eugene,OR,Lane,Other Strong Ales & Lagers,2000
4689,Bronze,Thunderhead Schwarzbier,Rio Salado Brewing Co. Inc ,Tempe,AZ,Maricopa,Other Strong Ales & Lagers,2000
4690,Gold,Raspberry Leghumper,Thirsty Dog Brewing Co.  ,Canton,OH,Stark,Raspberry Beers,2000
4691,Silver,Raspberry Weiss,Water Street Brewery ,Waltham,MA,Middlesex,Raspberry Beers,2000
