,Medal,Beer Name,Brewery,City,State,Category,Year
4353,Bronze,French Creek Helles,Sly Fox Brewhouse & Eatery ,Phoenixville,PA,Munchner-Style Helles,2002
4354,Gold,O'Doul's Amber,"Anheuser-Busch, Inc",Fort Collins,CO,Non-Alcoholic (Beer) Malt Beverage,2002
4355,Silver,Old Milwaukee NA,Stroh Brewery Co. (The),San Antonio,TX,Non-Alcoholic (Beer) Malt Beverage,2002
4356,Gold,Sinner's Stout,Angelic Brewing Co.,Madison,WI,Oatmeal Stout,2002
4357,Silver,Black Seal Stout,Rock Bottom Breweries ,Long Beach,CA,Oatmeal Stout,2002
4358,Bronze,Wild Goose Oatmeal Stout,Frederick Brewing Co.,Frederick,MD,Oatmeal Stout,2002
4359,Gold,Merry Prankster,Rock Bottom Breweries ,Portland,OR,Old Ale / Strong Ale,2002
4360,Silver,Celebration Brown,Island Brewing Co.  ,Carpenteria,CA,Old Ale / Strong Ale,2002
4361,Bronze,Cabin Fever,Boundary Bay Brewery  ,Bellingham,WA,Old Ale / Strong Ale,2002
4362,Gold,Decade,Big Time Brewing Co.,Seattle,WA,Other Strong Ale or Lager,2002
4363,Silver,Dragonstooth Stout,Elysian Brewing Co.,Seattle,WA,Other Strong Ale or Lager,2002
4364,Bronze,Hopasaurus Rex,Steelhead Brewing Co.,Eugene,OR,Other Strong Ale or Lager,2002
4365,Gold,Edmund Fitzgerald Porter,Great Lakes Brewing Co/Ohio,Cleveland,OH,Robust Porter,2002
4366,Silver,Cutthroat Porter,Odell Brewing Co.,Fort Collins,CO,Robust Porter,2002
4367,Bronze,Pig Iron Porter,Iron Hill Brewery & Restaurant,Media,PA,Robust Porter,2002
4368,Gold,Rock Chuck Rye,Snake River Brewing of Lander ,Lander,WI,Rye Beer,2002
4369,Silver,Tailwind Rye,Blind Tiger Brewery & Restaurant,Topeka,KS,Rye Beer,2002
4370,Bronze,Catcher in the Rye,Rock Bottom Breweries ,Arlington,VA,Rye Beer,2002
4371,Gold,McAllister's Ale,Smiling Moose Brewpub & Grill  ,Greeley,CO,Scottish-Style Ale,2002
4372,Silver,Laughing Lab Scottish Ale,Bristol Brewing Co.,Colorado Springs,CO,Scottish-Style Ale,2002
4373,Bronze,Hope & King Scotch Ale,Minneapolis Town Hall Brewery ,Minneapolis,MN,Scottish-Style Ale,2002
4374,Gold,BJ's Rauchbier,BJ's Restaurant & Brewery  ,Portland,OR,Smoke-Flavored Beer,2002
4375,Silver,Pelican Smoked Porter,Redfish New Orleans Brewhouse  ,Boulder,CO,Smoke-Flavored Beer,2002
4376,Bronze,Alaskan Smoked Porter,Alaskan Brewing and Bottling Co.,Juneau,AK,Smoke-Flavored Beer,2002
4377,Gold,Ashman's Abbaye Dubbel,Flossmoor Station Brewing Co.,Flossmoor,IL,Specialty Beer,2002
4378,Silver,Ginger Shandy,McCoys Public House & BrewKitchen ,Kansas City,MO,Specialty Beer,2002
4379,Bronze,Maplenut Brown Ale,Tommyknocker Brewery  ,Idaho Springs,CO,Specialty Beer,2002
4380,Gold,Star Spangled Ale,"Hops Restaurant, Bar and Brewery ",Tampa,FL,Specialty Honey Beer,2002
4381,Silver,Honey Blonde,SLO Brewing Co.,Paso Robles,CA,Specialty Honey Beer,2002
4382,Bronze,Ray's Honey Rye,Boscos Brewing Co.,Memphis,TN,Specialty Honey Beer,2002
4383,Gold,Fat Bastard,Silver City Brewing Co.,Silverdale,WA,Strong Scotch Ale,2002
4384,Silver,Prescott's Wee Heavy,Bitter End Bistro & Brewery  ,Austin,TX,Strong Scotch Ale,2002
4385,Bronze,Wee Heavy Ale,Capitol City Brewing Co.,Arlington,VA,Strong Scotch Ale,2002
4386,Gold,Collaborator Milk Stout,Widmer Brothers Brewing Co.,Portland,OR,Sweet Stout,2002
4387,Silver,Cream Stout,Redrock Brewing Co.,Flint,MI,Sweet Stout,2002
4388,Bronze,Subjugator Stout,P.H. Woods Restaurant & Brewery  ,Moreno Valley,CA,Sweet Stout,2002
4389,Gold,Dos Czechies,Hub City Brewery ,Lubbock,TX,Vienna-Style Lager,2002
4390,Silver,Dos Rios,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Vienna-Style Lager,2002
4391,Bronze,Dockside Amber Lager,Wagner Brewing Co. ,Lodi,NY,Vienna-Style Lager,2002
4392,Gold,Terminal Bourbon Stout,Rock Bottom Breweries ,Chicago,IL,Wood- and Barrel-Aged Beer,2002
4393,Silver,Dragon's Milk,New Holland Brewing Co.,Holland,MI,Wood- and Barrel-Aged Beer,2002
4394,Bronze,Old Conundrum Barley Wine,Flossmoor Station Brewing Co.,Flossmoor,IL,Wood- and Barrel-Aged Beer,2002
4395,Gold ,Bachelor ESB,Deschutes Brewery ,Bend,OR,(Extra Special) Strong Bitter,2001
4396,Silver ,The Tower ESB,Bull and Bush Pub and Brewery,Denver,CO,(Extra Special) Strong Bitter,2001
4397,Bronze,Alaskan ESB,Alaskan Brewing and Bottling Co.,Juneau,AK,(Extra Special) Strong Bitter,2001
4398,Gold ,Calico Copper Ale,Ballast Point Brewing Co.  ,San Diego,CA,American-Style Amber / Red Ale,2001
4399,Silver ,Hoppus Maximus,Thirsty Dog Grille and Brewery  ,N. Canton,OH,American-Style Amber / Red Ale,2001
4400,Bronze,Woody's Hophead Red,Elk Grove Brewery and Restaurant,Elk Grove,CA,American-Style Amber / Red Ale,2001
4401,Gold ,Killians Irish Red,Coors Brewing Co.,Golden,CO,American-Style Amber Lager,2001
4402,Silver ,OKT-OBER-FEST,Big Horn Brewing Co. ,Dallas,TX,American-Style Amber Lager,2001
4403,Bronze,Pete's Wicked Red Rush,Pete's Brewing Co.,San Antonio,TX,American-Style Amber Lager,2001
4404,Gold ,American Brown,Hub City Brewery ,Lubbock,TX,American-Style Brown Ale,2001
4405,Silver ,Nut Brown,Red Rock Brewing Co.,Salt Lake City,UT,American-Style Brown Ale,2001
4406,Bronze,Midtown Brown,Boscos Brewing Co.,Memphis,TN,American-Style Brown Ale,2001
4407,Gold ,Henry Weinhard's Dark,Blitz-Weinhard Brewing Co.,Tumwater,WA,American-Style Dark Lager,2001
4408,Silver ,Freidobrau Oktoberfest,Big Horn Brewing Co.  ,Dallas,TX,American-Style Dark Lager,2001
4409,Bronze,Shiner Bock,Spoetzl Brewery (The),San Antonio,TX,American-Style Dark Lager,2001
4410,Gold ,Tumbleweed IPA,Sleeping Giant Brewing Co.  ,Billings,MT,American-Style India Pale Ale,2001
4411,Silver ,Wipeout IPA,Pizza Port - Carlsbad,Carlsbad,CA,American-Style India Pale Ale,2001
4412,Bronze,India Pelican Ale,Pelican Pub & Brewery  ,Pacific City,OR,American-Style India Pale Ale,2001
4413,Gold ,Gold: Stag Bee,Pearl Brewing Co. ,Fort Worth,TX,American-Style Lager,2001
4414,Silver ,Red Dog,Plank Road Brewery  ,Milwaukee,WI,American-Style Lager,2001
4415,Bronze,Pearl Lager,Pearl Brewing Co.  ,Fort Worth,TX,American-Style Lager,2001
4416,Gold ,Taps Cream Ale,TAPS Fish House and Brewery  ,Brea,CA,American-Style Lager/Ale or Cream Ale,2001
4417,Silver ,Holy Cow's Cream Ale,Holy Cow!  ,Las Vegas,NV,American-Style Lager/Ale or Cream Ale,2001
4418,Bronze,Iowa City Light,Fitzpatrick's  ,Iowa City,IA,American-Style Lager/Ale or Cream Ale,2001
4419,Gold ,Schaefer Light,Schaefer Brewing Co.  ,Fogelsville,PA,American-Style Light Lager,2001
4420,Silver ,Stroh Light,Stroh Brewery Co. (The),Fogelsville,PA,American-Style Light Lager,2001
4421,Bronze,Lone Star Light,Lone Star Brewing Co.  ,Milwaukee,WI,American-Style Light Lager,2001
4422,Gold ,SLO Brewing Co Extra Pale Ale,SLO Brewing Co. - Paso Robles  ,Paso Robles,CA,American-Style Pale Ale,2001
4423,Silver ,Emmett's Pale Ale,Emmett's Tavern & Brewing Co. ,West Dundee,IL,American-Style Pale Ale,2001
4424,Bronze,Mad Hatter Ale,New Holland Brewing Co.,Holland,MI,American-Style Pale Ale,2001
4425,Gold ,Empire Lager,P.H. Woods Restaurant & Brewery ,Moreno Valley,CA,American-Style Premium Lager,2001
4426,Silver ,Original Coors,Coors Brewing Co.,Golden,CO,American-Style Premium Lager,2001
4427,Bronze,Stroh,Stroh Brewery Co. (The),Fogelsville,PA,American-Style Premium Lager,2001
4428,Gold ,New South Lager,New South Brewing  ,Myrtle Beach,SC,American-Style Specialty Lager,2001
4429,Silver ,Old Milwaukee Ice,Stroh Brewery Co. (The),Fogelsville,PA,American-Style Specialty Lager,2001
4430,Bronze,St. Ides Malt Liquor,St. Ides Brewing Co.   ,Fogelsville,PA,American-Style Specialty Lager,2001
4431,Gold ,Grassfire Wheat,Hook & Ladder Brewing Co. ,Oakland,CA,American-Style Wheat Ale or Lager,2001
4432,Silver ,Shiner Winter Ale,Spoetzl Brewery (The),San Antonio,TX,American-Style Wheat Ale or Lager,2001
4433,Bronze,Widmer Hefeweizen,Widmer Brothers Brewing Co.,Portland,OR,American-Style Wheat Ale or Lager,2001
4434,Gold ,Lost Coast Barleywine,Lost Coast Brewery and Café,Eureka,CA,Barley Wine-Style Ale,2001
4435,Silver ,Bombshell Barleywine,Pizza Port - Carlsbad,Carlsbad,CA,Barley Wine-Style Ale,2001
4436,Bronze,Barley Wine,Rohrbach Brewing Co. ,Rochester,NY,Barley Wine-Style Ale,2001
4437,Gold ,La Folie,New Belgium Brewing Co.,Fort Collins,CO,Belgian- & French-Style Specialty Ales,2001
4438,Silver ,Liquid Sunshine,Rock Bottom Brewery - Westminster ,Westminster,CO,Belgian- & French-Style Specialty Ales,2001
4439,Bronze,Artisian Saison,Rocky River Brewing Co. - Ohio  ,Rocky River,OH,Belgian- & French-Style Specialty Ales,2001
4440,Gold ,Trippel Belgian Style Ale,New Belgium Brewing Co.,Fort Collins,CO,Belgian-Style Ale,2001
4441,Silver ,Damnation,Russian River Brewing Co.,Guerneville,CA,Belgian-Style Ale,2001
4442,Bronze,Abbey Belgian Style Ale,New Belgium Brewing Co.,Fort Collins,CO,Belgian-Style Ale,2001
4443,Gold ,Full Suspension Pale Ale,Utah Brewers Cooperative,Salt Lake City,UT,Bitter,2001
4444,Silver ,Dostal's Best Bitter,Dostal Alley BrewPub & Casino  ,Central City,CO,Bitter,2001
4445,Bronze,Cascade Ale,Deschutes Brewery ,Bend,OR,Bitter,2001
4446,Gold ,Dunkles Bock,Boundary Bay Brewery ,Bellingham,WA,Bock,2001
4447,Silver ,Hell's Bock,Big Horn Brewing Co.  ,Denver,CO,Bock,2001
4448,Bronze,Mad Brewer Maibock,Church Brew Works  ,Pittsburgh,PA,Bock,2001
4449,Gold ,Cleveland Chophouse Bohemian Pilsner,ChopHouse and Brewery-Cleveland,Cleveland,OH,Bohemian Style Pilsener ,2001
4450,Silver ,Pillage Pilsner,Valhalla Microbrewery & Restaurant  ,Pittsburgh,PA,Bohemian Style Pilsener ,2001
4451,Bronze,Czech Mate Pils,Brew Moon Restaurant & Microbrewery  ,Brookline,MA,Bohemian Style Pilsener ,2001
4452,Gold ,MacTarnahan's Black Watch Cream Porter,Portland Brewing Co.,Portland,OR,Brown Porter,2001
4453,Silver ,Molly's Titanic Brown Ale,Rock Bottom Brewery - South Denver  ,Denver,CO,Brown Porter,2001
4454,Bronze,Paradise Lost Porter,Angelic Brewing Co.,Madison,WI,Brown Porter,2001
4455,Gold ,Darth Delirium,Moose's Tooth Brewing Co.,Anchorage,AK,Chocolate / Cocoa Flavored Beer,2001
4456,Silver ,Chocolate Stout,Rogue Ales  ,Newport,OR,Chocolate / Cocoa Flavored Beer,2001
4457,Bronze,Oompa Loompa,Rocky River Brewing Co. - Ohio,Rocky River,OH,Chocolate / Cocoa Flavored Beer,2001
4458,Gold ,Custer's Last Ale,Snake River Brewing Co.,Jackson,WY,Classic English Style Pale Ale ,2001
4459,Silver ,Breckenridge Pale Ale,Breckenridge Brewery ,Denver,CO,Classic English Style Pale Ale ,2001
4460,Bronze,Annadel Pale Ale,Third Street AleWorks,Santa Rosa,CA,Classic English Style Pale Ale ,2001
4461,Gold ,Lord Stanley,Steelhead Brewing Co.,Irvine,CA,Classic Irish-Style Dry Stout ,2001
4462,Silver ,Celtic Stout,Fitzpatrick's  ,Iowa City,IA,Classic Irish-Style Dry Stout ,2001
4463,Bronze,Dark Starr Stout,Starr Hill Brewing Co. ,Charlottesville,VA,Classic Irish-Style Dry Stout ,2001
4464,Gold ,Sweet Georgia Brown,Sweetwater Brewing Co.,Atlanta,GA,English-Style Brown Ale,2001
4465,Silver ,Nut Brown Ale,Blackstone Restaurant & Brewery  ,Nashville,TN,English-Style Brown Ale,2001
4466,Bronze,Thunderbolt Brown,Pony Express Brewing Co.,Olathe,KS,English-Style Brown Ale,2001
4467,Gold ,SLO Progress,SLO Brewing Co. - San Luis Obispo ,San Luis Obispo,CA,English-Style India Pale Ale,2001
4468,Silver ,Hoppyhour IPA,Mash House Restaurant & Brewing Co. (The),Fayetteville,NC,English-Style India Pale Ale,2001
4469,Bronze,India Pale Ale,Goose Island Beer Co.  ,Chicago,IL,English-Style India Pale Ale,2001
4470,Gold ,Damsel in Distress Dunkel,Mammoth Brewing,Mammoth Lakes,CA,European-Style Dark / Munchner Dunkel,2001
4471,Silver ,Dunkles,Powerhouse Restaurant & Brewery,Sebastopol,CA,European-Style Dark / Munchner Dunkel,2001
4472,Bronze,Pious Monk Dunkel,Church Brew Works ,Pittsburgh,PA,European-Style Dark / Munchner Dunkel,2001
4473,Gold ,Michelob,"Anheuser-Busch, Inc",Saint Louis,MO,European-Style Pilsener,2001
4474,Silver ,Import/Export Buis,Brewzzi  ,Boca Raton,FL,European-Style Pilsener,2001
4475,Bronze,Pinch Hit Pilsner,Sandlot Brewery at Coors Field,Denver,CO,European-Style Pilsener,2001
4476,Gold ,Czar Jack Bourbon Barrel Imperial Stout,Minneapolis Town Hall Brewery  ,Minneapolis,MN,Experimental Beer,2001
4477,Silver ,Cuvee de Tomme,Pizza Port - Solana Beach,Solana Beach,CA,Experimental Beer,2001
4478,Bronze,Special Brew Lemon Lime,St. Ides Brewing Co.   ,Milwaukee,WI,Experimental Beer,2001
4479,Gold ,Sofa King Stout,West Bros Brewery  ,Eugene,OR,Foreign Style Stout ,2001
4480,Silver ,Irish Stout,Bellows Brew Crew (The),Watertown,WI,Foreign Style Stout ,2001
4481,Bronze,Space Stout,Laurelwood Public House & Brewery ,Portland,OR,Foreign Style Stout ,2001
4482,Gold ,Raspberry Tart,New Glarus Brewing Co.,New Glarus,WI,Fruit Beer,2001
4483,Silver ,Belgian Style Red,New Glarus Brewing Co.,New Glarus,WI,Fruit Beer,2001
4484,Bronze,Railway Razz,Willoughby Brewing Co. (The),Willoughby,OH,Fruit Beer,2001
4485,Gold ,Boca Alt,Brewzzi  ,Boca Raton,FL,German-Style Brown Ale / Dusseldorf-Style Altbier,2001
4486,Silver ,Otis Alt,Elk Grove Brewery and Restaurant,Elk Grove,CA,German-Style Brown Ale / Dusseldorf-Style Altbier,2001
4487,Bronze,Dusseldorf Altbier,Gilded Otter Brewing Co.  ,New Paltz,NY,German-Style Brown Ale / Dusseldorf-Style Altbier,2001
4488,Gold ,Scapegoat Doppelbock,Mickey Finn's Brewery  ,Libertyville,IL,German-Style Doppelbock,2001
4489,Silver ,Liberator Doppelbock,Angelic Brewing Co.,Madison,WI,German-Style Doppelbock,2001
4490,Bronze,Bell's Consecrator Dopplebock,Kalamazoo Brewing  ,Kalamazoo,MI,German-Style Doppelbock,2001
4491,Gold ,Pete's Wicked Helles Lager,Pete's Brewing Co.,San Antonio,TX,German-Style Kolsch / Koln-Style Kolsch,2001
4492,Silver ,Capitol Kolsch,Capitol City Brewing Co.,Arlington,VA,German-Style Kolsch / Koln-Style Kolsch,2001
4493,Bronze,Skinny Atlas Light,Empire Brewing Co.,Rochester,NY,German-Style Kolsch / Koln-Style Kolsch,2001
4494,Gold ,Uncle Otto's Oktoberfest,Portland Brewing Co.,Portland,OR,German-Style Maerzen / Oktoberfest,2001
4495,Silver ,Mueller Marzen,Springfield Brewing Co.,Springfield,MO,German-Style Maerzen / Oktoberfest,2001
4496,Bronze,Tabernash Oktoberfest,Tabernash Brewing Co. ,Longmont,CO,German-Style Maerzen / Oktoberfest,2001
4497,Gold ,Tuppers' Hop Pocket Pils,Old Dominion Brewing Co.,Ashburn,VA,German-Style Pilsener,2001
4498,Silver ,Hanalei Lager,Honolulu Brewing Co. ,Honolulu,HI,German-Style Pilsener,2001
4499,Bronze,Blue Paddle Pilsner,New Belgium Brewing Co.,Fort Collins,CO,German-Style Pilsener,2001
4500,Gold ,Black Forest Schwarzbier,Squatters Pub Brewery ,Salt Lake City,UT,German-Style Schwarzbier,2001
4501,Silver ,Springfield Schwarz Beer,John Harvard’s Brew House,Wayne,PA,German-Style Schwarzbier,2001
4502,Bronze,King's Peak,Uinta Brewing Co.  ,Salt Lake City,UT,German-Style Schwarzbier,2001
4503,Gold ,Gudenteit Hefe-Weizen,Mickey Finn's Brewery  ,Libertyville,IL,German-Style Wheat Ale,2001
4504,Silver ,Glockenspiel Weizenbock,Great Lakes Brewing Co/Ohio,Cleveland,OH,German-Style Wheat Ale,2001
4505,Bronze,Heidelberg Hefeweizen,Rocky River Brewing Co. - Tennessee  ,Sevierville,TN,German-Style Wheat Ale,2001
4506,Gold ,Golden Wheat Ale,Russian River Brewing Co.,Guerneville,CA,Golden or Blonde Ale,2001
4507,Silver ,Old Faithful Ale,Grand Teton Brewing Co.  ,Victor,ID,Golden or Blonde Ale,2001
4508,Bronze,Kiwanda Cream Ale,Pelican Pub & Brewery  ,Pacific City,OR,Golden or Blonde Ale,2001
4509,Gold ,Orange Infusion,Elliott Bay Brewery Pub,Seattle,WA,Herb and Spice Beer,2001
4510,Silver ,Holiday Spiced Ale,21st Amendment Brewery Café ,San Francisco,CA,Herb and Spice Beer,2001
4511,Bronze,Cambridge Espresso Stout,John Harvard’s Brew House,Braintree,MA,Herb and Spice Beer,2001
4512,Gold ,Raven Maniac Stout,Prescott Brewing Co.,Prescott,AZ,Imperial Stout,2001
4513,Silver ,High Desert Imperial Stout,Sweetwater Tavern & Brewery,Centreville,VA,Imperial Stout,2001
4514,Bronze,Old Rasputin,North Coast Brewing Co. Inc,Ft. Bragg,CA,Imperial Stout,2001
4515,Gold ,3A - Abigail Adams Amber,Quincy Ships Brewing Co. ,Quincy,MA,Irish-Style Red Ale,2001
4516,Silver ,Thoroughbred Red,Aiken Brewing Co. ,Aiken,SC,Irish-Style Red Ale,2001
4517,Bronze,Starr Hill Amber Ale,Starr Hill Brewing Co. ,Charlottesville,VA,Irish-Style Red Ale,2001
4518,Gold ,Penn Gold,Pennsylvania Brewing Co.,Pittsburgh,PA,Munchner-Style Helles,2001
4519,Silver ,Lucknow Munich-Style Lager,Castle Springs Brewing Co.,Moultonborough,NH,Munchner-Style Helles,2001
4520,Bronze,Ghost Pony Helles,Trap Rock Restaurant and Brewery,Berekely Heights,NJ,Munchner-Style Helles,2001
4521,Gold ,O'Doul's Amber,"Anheuser-Busch, Inc",Saint Louis,MO,Non-Alcoholic (Beer) Malt Beverage,2001
4522,Silver ,Kingsbury NA,Rainier Brewing Co. Inc ,Tumwater,WA,Non-Alcoholic (Beer) Malt Beverage,2001
4523,Bronze,Pigs Eye NA,Minnesota Brewing  ,Saint Paul,MN,Non-Alcoholic (Beer) Malt Beverage,2001
4524,Gold ,Lasto's Oatmeal Stout,BJ's Grill & Brewery ,Portland,OR,Oatmeal Stout,2001
4525,Silver ,Oatmeal Stout,SLO Brewing Co. - San Luis Obispo  ,San Luis Obispo,CA,Oatmeal Stout,2001
4526,Gold ,Southampton Old Ale,Southampton Publick House ,Southampton,NY,Old Ale/Strong Ale,2001
4527,Silver ,Old Stock Ale,North Coast Brewing Co. Inc,Ft. Bragg,CA,Old Ale/Strong Ale,2001
4528,Bronze,Wee Huey's Heavy,Big Horn Brewing Co.  ,Tacoma,WA,Old Ale/Strong Ale,2001
4529,Gold ,Hopasaurus Rex Imperial IPA,Steelhead Brewing Co. - Eugene ,Eugene,OR,Other Strong Ale or Lager,2001
4530,Silver ,Hearthside Wheatwine,Steelhead Brewing Co. - Eugene ,Eugene,OR,Other Strong Ale or Lager,2001
4531,Bronze,Cardiff,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Other Strong Ale or Lager,2001
4532,Gold ,Robust Porter,Smuttynose Brewing Co.,Portsmouth,NH,Robust Porter,2001
4533,Silver ,Total Eclipse Black Ale,Hoppy Brewing Co.,Sacramento,CA,Robust Porter,2001
4534,Bronze,Mocha Porter,Rogue Ales  ,Newport,OR,Robust Porter,2001
4535,Gold ,Road Rage Rye,Desert Edge Brewery  ,Salt Lake City,UT,Rye Beer,2001
4536,Silver ,Chazz Cat Rye,Mountain Sun Pub and Brewery ,Boulder,CO,Rye Beer,2001
4537,Bronze,Catcher in the Rye,Rock Bottom Brewery - South Denver  ,Englewood,CO,Rye Beer,2001
4538,Gold ,Caber Tossing Scottish Ale,Fox River Brewing Co./Fratellos,Oshkosh,WI,Scottish-Style Ale,2001
4539,Silver ,Laughing Lab Scottish Ale,Bristol Brewing Co.,Colorado Springs,CO,Scottish-Style Ale,2001
4540,Bronze,Saint Arnold Oktoberfest,Saint Arnold Brewing Co.,Houston,TX,Scottish-Style Ale,2001
4541,Silver ,Smokey the Beer,Blind Tiger Brewery & Restaurant,Topeka,KS,Smoke-Flavored Beer,2001
4542,Bronze,Stewart's Smoked Porter,Stewart's Brewing Co. ,Bear,DE,Smoke-Flavored Beer,2001
4543,Gold ,Big Bad Bourbon Brown,Big Horn Brewing Co. ,Dallas,TX,Specialty Beer,2001
4544,Silver ,Pullman Brown Ale,Flossmoor Station Brewing Co.,Flossmoor,IL,Specialty Beer,2001
4545,Bronze,Ginger Shandy,McCoys Public House & BrewKitchen ,Kansas City,MO,Specialty Beer,2001
4546,Gold ,Countdown Honey Brown,Thunder Canyon Brewery ,Tucson,AZ,Specialty Honey Beer,2001
4547,Silver ,Jarre Creek Ranch Brewery Honey Brown Ale,Jarre Creek Ranch Brewery  ,Castle Rock,CO,Specialty Honey Beer,2001
4548,Bronze,Honey Rye Dopplebock,Flossmoor Station Brewing Co.,Flossmoor,IL,Specialty Honey Beer,2001
4549,Silver ,Wee Heavy Ale,Capitol City Brewing Co.,Arlington,VA,Strong Scotch Ale,2001
4550,Bronze,Wee Heavy,Iron Hill Brewery & Restaurant - Media,Media,PA,Strong Scotch Ale,2001
4551,Gold ,Sweetness Stout,Americas Brewing Co/Walter Paytons Roundhouse,Aurora,IL,Sweet Stout,2001
4552,Silver ,Chocolate Stout,H.C. Berger Brewing  ,Fort Collins,CO,Sweet Stout,2001
4553,Bronze,Chelsea Cream Stout,Chelsea Brewing Co.,New York,NY,Sweet Stout,2001
4554,Gold ,Snake River Lager,Snake River Brewing Co.,Jackson,WY,Vienna-Style Lager,2001
4555,Silver ,Dam Straight Lager,Dillon Dam Brewery  ,Dillon,CO,Vienna-Style Lager,2001
4556,Bronze,Sunset Amber,Coast Brewing Co.,Biloxi,MS,Vienna-Style Lager,2001
4557,Gold,H. Saxer Dark Lager,Portland Brewing Co.,Portland,OR,American Dark Lager,2000
4558,Silver,Henry Weinhard's Dark,Blitz-Weinhard Brewing Co.,Tumwater,WA,American Dark Lager,2000
4559,Bronze,Michelob Amber Bock,"Anheuser-Busch, Inc",Saint Louis,MO,American Dark Lager,2000
4560,Gold,California Gold,Stuft Pizza & Brewing Co.  ,San Diego,CA,American Lager / Ale or Cream Ale,2000
4561,Silver,Lodgepole Light,Prescott Brewing Co.,Prescott,AZ,American Lager / Ale or Cream Ale,2000
4562,Bronze,Lucknow Blonde Ale,Castle Springs Brewing Co.,Moultonborough,NH,American Lager / Ale or Cream Ale,2000
4563,Gold,Steam Engine Steam,Steamworks Brewing Co.,Durango,CO,American-Style Amber Lager,2000
4564,Gold,Ruedrich's Red Seal Ale,North Coast Brewing Co. Inc,Ft. Bragg,CA,American-Style Amber/Red Ale,2000
4565,Silver,Shark Bite Red,Pizza Port - Carlsbad,Carlsbad,CA,American-Style Amber/Red Ale,2000
4566,Bronze,Ragtop Red,Rock Bottom Breweries ,La Jolla,CA,American-Style Amber/Red Ale,2000
4567,Gold,American Brown,C.H. Evans Brewing Co. at the Albany Pump Station,Albany,NY,American-Style Brown Ale,2000
4568,Silver,Hogans Park Ave. Ale,Custom Brewcrafters Inc,Honeoye Falls,NY,American-Style Brown Ale,2000
4569,Bronze,Brooklyn Brown Ale,Brooklyn Brewery ,Brooklyn,NY,American-Style Brown Ale,2000
4570,Gold, IPA,SLO Brewing Co. - San Luis Obispo  ,San Luis Obispo,CA,American-Style India Pale Ale,2000
4571,Silver,Torrey Pines IPA,Stuft Pizza & Brewing Co.  ,San Diego,CA,American-Style India Pale Ale,2000
